Title,Channel,Duration,URL
"Power BI Desktop Tips and Tricks (15/100) - How to Enable Search Option in Slicer or Filter","Analytics with Nags",4 minutes 27 seconds,https://www.youtube.com/watch?v=2Tew4I4cbtg
"How to increase Page Size Power BI Desktop Tips and Tricks (16/100)","Analytics with Nags",3 minutes 17 seconds,https://www.youtube.com/watch?v=huEspQGPtOw
"What is Wallpaper in Power BI Desktop Tips and Tricks (17/100)","Analytics with Nags",3 minutes 5 seconds,https://www.youtube.com/watch?v=aakSVaElqII
"Power BI Desktop Tips and Tricks (18/100) - Number Of Occurrence Of a Character","Analytics with Nags",6 minutes 30 seconds,https://www.youtube.com/watch?v=_1DcpFx3k3w
"Power BI Desktop Tips and Tricks (19/100) - Conditional Formatting in Power BI Table","Analytics with Nags",7 minutes 31 seconds,https://www.youtube.com/watch?v=TqvbUV5sLn8
"Power BI Desktop Tips and Tricks (20/100) - What is Drill-Through Button","Analytics with Nags",6 minutes 50 seconds,https://www.youtube.com/watch?v=1GdrArBva_Q
"What is DAX in Power BI DAX Tutorial (1/50)","Analytics with Nags",11 minutes 27 seconds,https://www.youtube.com/watch?v=sCAQtqHINAQ
"Power BI DAX Tutorial (2/50) - What is Measure or Calculated Column","Analytics with Nags",13 minutes 57 seconds,https://www.youtube.com/watch?v=T496XOk-lJI
"What is Row Context and Filter Context in Power BI DAX Tutorial (3/50)","Analytics with Nags",11 minutes 3 seconds,https://www.youtube.com/watch?v=rk2NG7UhdkU
"Power BI DAX Tutorial (4/50) - What is calculate Function","Analytics with Nags",12 minutes 13 seconds,https://www.youtube.com/watch?v=--1S28Heijo
"Power BI DAX Tutorial (5/50) - What is Sum and SumX","Analytics with Nags",9 minutes 5 seconds,https://www.youtube.com/watch?v=wR3c-tqlxrk
"How to calculate MTD QTD YTD in Power BI DAX Tutorial (6/50)","Analytics with Nags",15 minutes 32 seconds,https://www.youtube.com/watch?v=HPQGa1I6BfE
"Power BI DAX Tutorial (7/50) - What Is SamePeriodLastyear","Analytics with Nags",10 minutes 3 seconds,https://www.youtube.com/watch?v=N4GPIgp5lGE
"Power BI DAX Tutorial (8/50) - How to Compare Previous Month Quarter Year Values","Analytics with Nags",13 minutes 36 seconds,https://www.youtube.com/watch?v=5CD2bYuRvp0
"Power BI DAX Tutorial (9/50) - What is DateAdd Function","Analytics with Nags",10 minutes 18 seconds,https://www.youtube.com/watch?v=mFWuoLmAzWM
"Power BI DAX Tutorial (10/50) - What is DatesInPeriod","Analytics with Nags",10 minutes 24 seconds,https://www.youtube.com/watch?v=tZ4-IuV0MFk
"Power BI DAX Tutorial (11/50) - What is DatesBetween Function","Analytics with Nags",12 minutes 27 seconds,https://www.youtube.com/watch?v=dHnTkHKRsso
"Power BI DAX Tutorial (12/50) - What is Related Function","Analytics with Nags",7 minutes 50 seconds,https://www.youtube.com/watch?v=PNzIE04dQCE
"Power BI DAX Tutorial (13/50) - What is HasOnevalue function","Analytics with Nags",9 minutes 41 seconds,https://www.youtube.com/watch?v=VE5Ephqk7A0
"Power BI DAX Tutorial (14/50) - What is ALL and ALLExcept","Analytics with Nags",11 minutes 27 seconds,https://www.youtube.com/watch?v=TyDCNZdrTJc
"Power BI DAX Tutorial (15/50) - What is RANKX","Analytics with Nags",14 minutes 6 seconds,https://www.youtube.com/watch?v=InQ2_LTV8Ck
"Power BI DAX Tutorial (16/50) - What is TREATAS Function","Analytics with Nags",8 minutes 28 seconds,https://www.youtube.com/watch?v=k4sJb1mYq5k
"Introduction to Power BI Service (1/30)","Analytics with Nags",13 minutes 8 seconds,https://www.youtube.com/watch?v=F1BtmioYzGw
"Power BI Service (2/30) - Sign Up Power BI Services Without Work email address","Analytics with Nags",12 minutes 28 seconds,https://www.youtube.com/watch?v=Nmi8uqx7Mi0
"Power BI Service (3/30) - What is Workspace","Analytics with Nags",9 minutes 33 seconds,https://www.youtube.com/watch?v=UTEossCyPyg
"Power BI Service (4/30) - How to Access Power BI Reports in Mobile Devices","Analytics with Nags",10 minutes 40 seconds,https://www.youtube.com/watch?v=Oi_u3cjwnN0
"Power BI Service (5/30) - How to Share Power BI Reports with Others","Analytics with Nags",8 minutes 8 seconds,https://www.youtube.com/watch?v=CfDxm0gNEl8
"Power BI Service (6/30) - How to Export or Embed Power BI Reports","Analytics with Nags",8 minutes 42 seconds,https://www.youtube.com/watch?v=_q_VsIqWoeU
"Power BI Service (8/30) - What is Schedule Refresh","Analytics with Nags",9 minutes 33 seconds,https://www.youtube.com/watch?v=UchtwXH1xQk
"Power BI Service (7/30) - What is Gateway","Analytics with Nags",8 minutes 29 seconds,https://www.youtube.com/watch?v=DKb1W-VknAg
"What is Row Level Security (RLS) - Restricted Data Access - Power BI Service (9/30)","Analytics with Nags",9 minutes 53 seconds,https://www.youtube.com/watch?v=gT5-S3raIDo
"Power BI Tutorial (26/50) - What If Analysis in POWER BI","Analytics with Nags",13 minutes 10 seconds,https://www.youtube.com/watch?v=Anfexbjr4zM
"Power BI Desktop Tips and Tricks (21/100) - Display Custom Messages in Charts in Power BI","Analytics with Nags",8 minutes 30 seconds,https://www.youtube.com/watch?v=uDQWbb0ULzA
"Default to Current Month in Reports Power BI Desktop Tips and Tricks (22/100) -","Analytics with Nags",6 minutes 41 seconds,https://www.youtube.com/watch?v=uDQshJTP56s
"What is Measure table in Power BI Desktop Tips and Tricks (23/100)","Analytics with Nags",5 minutes 7 seconds,https://www.youtube.com/watch?v=7YBeZmmLtbs
"How to Create Folders in Power BI Desktop Tips and Tricks (24/100)","Analytics with Nags",5 minutes 28 seconds,https://www.youtube.com/watch?v=yGZs9WRFg08
"Power BI DAX Tutorial (19/50) - What is KEEPFILTERS Function","Analytics with Nags",5 minutes 17 seconds,https://www.youtube.com/watch?v=-yQLMVFBNDg
"Power BI Tutorial (27/50) - What is Visual header in POWER BI","Analytics with Nags",12 minutes 51 seconds,https://www.youtube.com/watch?v=sfDeEleUhQM
"Power BI DAX Tutorial (20/50) - What is REMOVEFITERS Function in DAX","Analytics with Nags",5 minutes 31 seconds,https://www.youtube.com/watch?v=lUCv31dpp7Q
"Power BI DAX Tutorial (21/50) - What is Difference Between TotalYTD vs DatesYTD Function in DAX","Analytics with Nags",11 minutes 8 seconds,https://www.youtube.com/watch?v=AFyaYX4Mnwg
"Power BI Tutorial (28/50) - What is Import Mode vs DirectQuery Mode","Analytics with Nags",12 minutes 2 seconds,https://www.youtube.com/watch?v=0uDOzEkLtd4
"Power BI Tutorial (29/50) - How to make Live Connection (Connect Live) in Power BI","Analytics with Nags",12 minutes 21 seconds,https://www.youtube.com/watch?v=9-zfKmF4lj4
"Power BI DAX Tutorial (22/50) - What is Summarize function in DAX | Group By in DAX","Analytics with Nags",11 minutes 35 seconds,https://www.youtube.com/watch?v=YVMNM88yx4o
"Power BI DAX Tutorial (23/50) - What is UNION Intersect Except in DAX","Analytics with Nags",11 minutes 48 seconds,https://www.youtube.com/watch?v=vijoPB7Jyek
"What is Distinct Function in Power BI DAX Tutorial (24/50)","Analytics with Nags",3 minutes 53 seconds,https://www.youtube.com/watch?v=o8VUmJ_NhfU
"What is Variables in Power BI DAX Tutorial (25/50)","Analytics with Nags",7 minutes 5 seconds,https://www.youtube.com/watch?v=UccMggvX2Dw
"What is Selected Value in Power BI DAX Tutorial (26/50)","Analytics with Nags",12 minutes 13 seconds,https://www.youtube.com/watch?v=iD_fnn2VrIM
"Default Report to Latest Fact Date in Power BI DAX Tutorial (27/50)","Analytics with Nags",18 minutes 34 seconds,https://www.youtube.com/watch?v=tXdze9PxYIg
"Power BI Tutorial (30/50) - How to do Forecasting in Power BI","Analytics with Nags",5 minutes 22 seconds,https://www.youtube.com/watch?v=iYyWW-Kx6ac
"Split Comma delimited Columns / Cells into Multiple rows Power BI Desktop Tips and Tricks (25/100)","Analytics with Nags",5 minutes 24 seconds,https://www.youtube.com/watch?v=pH6W5dmX8h0
